id,category,active,set_question,help_information,answer_set,has_sub_question,sub_question_group
29,2,Will your business be able to switch to a more green energy source in the near future?,e.g generating electricity from solar panels\, changing a fossil fuel driven vehicle for an electric vehicle,3,0,0,1
30,2,Does your buisness idea involves direct or indirect animal use?,,1,1,1,1
31,2,Are there any measures taken against animal exploitation?,,4,0,1,0
32,2,Will there be animal product in your transformed goods ?,Produced products can contain animal products where there is no obvious connection\, e.g products like shampoo\, face masks and candy can contain gelatine,2,0,1,0
33,2,Do you plan to propose alternative for meat-based products? ,Vegetarian or vegan products could be an alternative to meat based products,3,0,1,0
34,2,Do your business idea plan to support locally sourced products or services?,,3,0,0,1
35,2,Are there releases of persistent or bioaccumulating chemicals in use or production of products ?,The terms persistent\, bioaccumulative and toxic (PBT) refer to substances of very high concern for the environment because of their persistence\, their ability to accumulate in living organisms and their toxicity.https://www.ema.europa.eu/en/documents/scientific-guideline/guideline-assessment-persistent-bioaccumulative-toxic-pbt-very-persistent-very-bioaccumulative-vpvb_en.pdf ,5,0,0,1
36,2,Does your businss idea involves physical degradation of nature ? ,Natural environment degradation refers to the destruction and loss of native species and natural processes such that only certain components of the original biodiversity and ecological functions persist. Usual example of degradation is taking down trees.  http://encyclopedia.uia.org/en/problem/132867 ,2,0,0,1
37,2,Is your business idea about producing goods ?,,1,1,2,1
38,2,Does the process or product contain any toxic chemicals? Ex : iding suppliers,A toxic substance is a substance that can be poisonous or cause health effects. The question also regard processes of any supplier. ,2,0,2,0
39,2,Is the product designed with repairability in mind ? ,,3,0,2,0
40,2,Is the process going to use the Reduce\, Reuse\, Recycle method ?,Reuse\, Reduce\, Recycle is a working method with the aim to keep as much material out of the landfill as possible. This is done by reuse: cutting back on the amount of trash we generate\,  reduce: finding new ways to use things that otherwise would have been thrown out and recycle: turning old and useless things into something new and useful. https://roguedisposal.com/resources/education/recycling/exploring-the-three-rs-of-waste-management-reduce-reuse-recycle ,3,0,2,0
41,2,Are there any dangerous residual products during the end-of-life cycle?,,2,0,2,0
43,2,Is it possible for waste product to be reused in order to save resources?,Waste product are material discarded as useless in the process of producing something.,4,0,2,0
44,2,Willl the company take responsibility for the product life cycle?,,3,0,0,1
45,3,Do you plan to cooperate with other entepreneurs or companies with assignments regarding sustainibility?,,3,0,0,1
46,3,Do you plan to be a member in a union who work in order to promote sustainibility work?,,3,0,0,1
47,3,Do you plan to share information on how you work with sustainibility to other companies?,,3,0,0,1
48,3,Do you plan to have a representative for the company's sustainability work?,,3,0,0,1
49,3,Do you produce services or products that improve sustainability for other people/companies ?,,3,0,0,1
50,3,Do you plan on promoting sustainability with the purpose to inspire other companies and people to make more sustainable choices?,,3,0,0,1
51,3,Do you have guidelines that could be shared for other companies to futher develop their social strategies?,A guideline could be a new reform for improving the working environment. ,3,0,0,1
52,3,Do you organize/take part in sustainability related conferences\, talks\, hackathons...?,,3,0,0,1
53,3,Is your business idea open for new innovations\, technologies\, methods regarding sustainability work from other organizations,,3,0,0,1
